"CHEMICAL_NAME"	"omics_layer"	"logFC_post"	"AveExpr_post"	"t_post"	"P.Value_post"	"adj.P.Val_post"	"B_post"	"sig_post"	"logFC_post_NGT"	"AveExpr_post_NGT"	"t_post_NGT"	"P.Value_post_NGT"	"adj.P.Val_post_NGT"	"B_post_NGT"	"sig_post_NGT"	"logFC_post_T2D"	"AveExpr_post_T2D"	"t_post_T2D"	"P.Value_post_T2D"	"adj.P.Val_post_T2D"	"B_post_T2D"	"sig_post_T2D"	"logFC_rec"	"AveExpr_rec"	"t_rec"	"P.Value_rec"	"adj.P.Val_rec"	"B_rec"	"sig_rec"	"logFC_rec_NGT"	"AveExpr_rec_NGT"	"t_rec_NGT"	"P.Value_rec_NGT"	"adj.P.Val_rec_NGT"	"B_rec_NGT"	"sig_rec_NGT"	"logFC_rec_T2D"	"AveExpr_rec_T2D"	"t_rec_T2D"	"P.Value_rec_T2D"	"adj.P.Val_rec_T2D"	"B_rec_T2D"	"sig_rec_T2D"
"saccharopine"	"metabolome"	0.822167378825309	3.09089221074137	6.27480530885199	3.20236864139207e-09	1.17791472635552e-07	10.4392994587289	TRUE	1.01244555775637	3.09089221074137	5.14287164691416	7.89196155432335e-07	4.45106631663837e-05	5.33129303951893	TRUE	0.631889199894243	3.09089221074137	3.65484054700985	0.00034951528227091	0.00799161969732963	-0.422402793228465	TRUE	0.0130148017093921	3.09089221074137	0.0987215052691523	0.921484175871198	0.955362270572345	-6.82607636273774	FALSE	0.0461767876670089	3.09089221074137	0.233642084081259	0.815564441579331	0.931130253139155	-6.54711689150558	FALSE	-0.0201471842482248	3.09089221074137	-0.115456413882691	0.908229556544023	0.948805209736373	-6.49120303850401	FALSE
"proline"	"metabolome"	0.282209318180866	9.2435471844274	6.0452530391453	9.40980039715364e-09	3.31695463999666e-07	9.36299898985646	TRUE	0.312764339470347	9.2435471844274	4.47087788262632	1.43118660730846e-05	0.00055035630444679	2.53941645452558	TRUE	0.251654296891385	9.2435471844274	4.06991100311362	7.23456121737847e-05	0.00211049613444903	1.03380401221561	TRUE	0.144038147508412	9.2435471844274	3.08546526596273	0.00237844125855634	0.0130989347925589	-2.25497954548802	TRUE	0.182987532415773	9.2435471844274	2.61575508531276	0.0097164741979875	0.0992556338298675	-3.29288011220844	FALSE	0.105088762601051	9.2435471844274	1.69956132876289	0.0910703392975205	0.240134381175208	-5.11662213871311	FALSE
"argininosuccinate"	"metabolome"	0.808769707663033	1.90209460397586	5.410765300081	2.14073887034093e-07	7.24426033723372e-06	6.32902497007195	TRUE	0.779240243308308	1.90209460397586	3.4788654811331	0.00064185256570599	0.0164547657753717	-1.03711478115917	TRUE	0.838299172017758	1.90209460397586	4.2341894406719	3.77424333535239e-05	0.00118259624507708	1.64776825290635	TRUE	0.0348891736228765	1.90209460397586	0.23341271093429	0.815726041143888	0.896239260789259	-6.8336340476582	FALSE	-0.0281181622681026	1.90209460397586	-0.125531637960719	0.900253268046475	0.971446766284844	-6.59626559050354	FALSE	0.0978965095138555	1.90209460397586	0.494468300457086	0.621623584370409	0.776799929656375	-6.4062927525399	FALSE
"glutamate"	"metabolome"	-0.314490784126609	9.36035143184961	-5.32608905776797	3.19472083549926e-07	1.03951301032015e-05	5.94162051259408	TRUE	-0.379925464220477	9.36035143184961	-4.29369653361323	2.9681760792223e-05	0.00109177259261829	1.84734041919421	TRUE	-0.249056104032741	9.36035143184961	-3.18445501829092	0.00172968380160576	0.0304856770033016	-1.92049342562742	TRUE	0.112759682908666	9.36035143184961	1.9096525036977	0.05788768620522	0.151400093808876	-5.06589890424074	FALSE	0.0959258603446571	9.36035143184961	1.08409825830127	0.279879692153631	0.564785487869712	-6.02560464297499	FALSE	0.129593505472675	9.36035143184961	1.65699487849581	0.0993930006051434	0.253809754228531	-5.18578904931333	FALSE
"aspartate"	"metabolome"	-0.692343036853336	4.19923873369298	-5.2865949216014	3.84519130498079e-07	1.18612341032111e-05	5.76240912636212	TRUE	-0.725827208154122	4.19923873369298	-3.69845545858961	0.00029378456709527	0.00857040495733114	-0.309796213916326	TRUE	-0.65885886555255	4.19923873369298	-3.79825858139055	0.00020356917604849	0.00506528008638308	0.0625103929558053	TRUE	-0.506059819510855	4.19923873369298	-3.86417300304176	0.00015914148692373	0.00149592997708309	0.25273311777266	TRUE	-0.811652606681158	4.19923873369298	-4.13577912199319	5.58572989624409e-05	0.00315035166148167	1.43310313820581	TRUE	-0.200467032340552	4.19923873369298	-1.15567334019985	0.249461125561942	0.452884360998719	-5.87159581384163	FALSE
"cysteine"	"metabolome"	0.442987053003712	0.00480996258813215	5.28216684588998	3.9257039585096e-07	1.18612341032111e-05	5.74237511553882	TRUE	0.374905896552304	0.00480996258813215	2.98315483811108	0.00327950915833594	0.0590311648500469	-2.53547857110997	FALSE	0.511068209455121	0.00480996258813215	4.60084260461665	8.27173195661338e-06	0.0003180856925134	3.08753691309111	TRUE	0.41535202413494	0.00480996258813215	4.95264743378513	1.77638301196369e-06	4.42005890623907e-05	4.52004882364809	TRUE	0.34164642402177	0.00480996258813215	2.71850667625257	0.00724841457426337	0.0863684328144621	-3.03338619298755	FALSE	0.489057624248109	0.00480996258813215	4.40269441950271	1.8996874151402e-05	0.00053948060684594	2.4943627563085	TRUE
"lidocaine"	"metabolome"	-0.74595057939817	11.0743486387139	-5.22166835805563	5.20449990047382e-07	1.51827824682788e-05	5.46986299432734	TRUE	-0.894208504422888	11.0743486387139	-4.17705764277377	4.74263141653039e-05	0.00160490647135388	1.40396522316641	TRUE	-0.597692654373452	11.0743486387139	-3.15874506046254	0.00188021373242686	0.0318132163526625	-1.99690094619402	TRUE	-0.00860941052673425	11.0743486387139	-0.0602660387571912	0.952015617149905	0.968035110707716	-6.85893080444087	FALSE	-0.093380871653082	11.0743486387139	-0.436203952096296	0.663250632248564	0.848880536886967	-6.51011985453353	FALSE	0.0761620505996135	11.0743486387139	0.40250871307498	0.687823050443731	0.818422363819123	-6.44686008533128	FALSE
"phosphate"	"metabolome"	0.251943627029018	8.00155972990125	5.09195509989182	9.45798942981524e-07	2.61216171849424e-05	4.89321827095058	TRUE	0.261530387997946	8.00155972990125	3.52724632232926	0.00054197972889092	0.0147908016336039	-0.880148088725718	TRUE	0.24235686606009	8.00155972990125	3.69805992170823	0.00029420777130139	0.00691388262558284	-0.281566408690716	TRUE	0.200592386729963	8.00155972990125	4.0541109876594	7.69419301764205e-05	0.00086790497239002	0.93629538900644	TRUE	0.221057275934398	8.00155972990125	2.98138762968475	0.00329752233767402	0.0489421736433723	-2.32819552053033	TRUE	0.180127497525527	8.00155972990125	2.74851829133486	0.00664333092761798	0.0407265069910494	-2.88986215106326	TRUE
"4-methyl-2-oxopentanoate"	"metabolome"	0.545151998068326	-1.91387866532288	5.08933640492828	9.57175097793396e-07	2.61216171849424e-05	4.88168535991027	TRUE	0.492478647073271	-1.91387866532288	3.06805682099516	0.00251350590425493	0.0494517673255736	-2.29331861781838	TRUE	0.597825349063382	-1.91387866532288	4.2136193954148	4.09877695300615e-05	0.00123841617937257	1.56981546542759	TRUE	0.286257292089546	-1.91387866532288	2.67239166869003	0.00827579923878928	0.0353602331111906	-3.38173589834093	TRUE	0.388297262687738	-1.91387866532288	2.41902480938553	0.0166333317801283	0.133002459380232	-3.76393428370814	FALSE	0.184217321491355	-1.91387866532288	1.29840877444131	0.195932289075753	0.393220768252371	-5.70068319160493	FALSE
"N-ethylglycinexylidide"	"metabolome"	-1.01254719322804	5.60848213554063	-5.05435229550369	1.12250826640901e-06	2.96763122931882e-05	4.72802931610789	TRUE	-0.992192591048418	5.60848213554063	-3.30505474981683	0.00116157496162251	0.0272970115981289	-1.58548729070027	TRUE	-1.03290179540767	5.60848213554063	-3.89266200045544	0.00014293877174154	0.00366443033010138	0.393736861514268	TRUE	-0.00356598504237748	5.60848213554063	-0.0178003996309663	0.985819277942978	0.992824173578141	-6.86058030015682	FALSE	0.00656070920350249	5.60848213554063	0.0218541272237184	0.982590337379812	0.99912430940303	-6.6038128595155	FALSE	-0.0136926792882575	5.60848213554063	-0.0516031365099777	0.958906427237143	0.975486885449229	-6.52528809441166	FALSE
