"CHEMICAL_NAME"	"omics_layer"	"logFC_post_M"	"AveExpr_post_M"	"t_post_M"	"P.Value_post_M"	"adj.P.Val_post_M"	"B_post_M"	"sig_post_M"	"logFC_post_W"	"AveExpr_post_W"	"t_post_W"	"P.Value_post_W"	"adj.P.Val_post_W"	"B_post_W"	"sig_post_W"	"logFC_rec_M"	"AveExpr_rec_M"	"t_rec_M"	"P.Value_rec_M"	"adj.P.Val_rec_M"	"B_rec_M"	"sig_rec_M"	"logFC_rec_W"	"AveExpr_rec_W"	"t_rec_W"	"P.Value_rec_W"	"adj.P.Val_rec_W"	"B_rec_W"	"sig_rec_W"
"N-(ADP-ribosyl)-arginine (2)*"	"metabolome"	-0.294977492630216	-5.19793979365651	-1.64027278547434	0.103743049516242	0.381027346699025	-5.38468806048708	FALSE	0.00599687565676899	-5.19793979365651	0.036067230922978	0.971292702602762	0.993281674586243	-6.66594209765887	FALSE	-0.379961742697541	-5.19793979365651	-2.10510021830607	0.0375093988067724	0.178275007811963	-4.13814873548897	FALSE	-0.582556559548988	-5.19793979365651	-3.41146942107887	0.00089857823088585	0.0101359624443925	-1.01457822932039	TRUE
"guanidinoacetate"	"metabolome"	0.206431126104916	2.0328984598071	1.74494601031979	0.0828288916899367	0.352126846078827	-5.38496188771835	FALSE	0.0402175284834065	2.0328984598071	0.33404287069505	0.738765201242259	0.860875151860814	-6.6973064225298	FALSE	-0.00490661453907082	2.0328984598071	-0.0414752252999738	0.966966456620881	0.99063825151024	-6.42928518042476	FALSE	0.109531176119752	2.0328984598071	0.909755270434954	0.364259263607864	0.588097971397429	-6.16472371187315	FALSE
"malate"	"metabolome"	0.20541682073015	4.98000738768582	1.73479656475543	0.0846169452942314	0.355130912177589	-5.40222919911701	FALSE	0.118571406560195	4.98000738768582	0.983948886670367	0.326560250231922	0.553431086893943	-6.27360511618035	FALSE	0.147738658791464	4.98000738768582	1.24769002286184	0.213886671240934	0.486419687822124	-5.6706778273187	FALSE	-0.0317727729384965	4.98000738768582	-0.263662087397038	0.792364506996313	0.901557198039176	-6.5377234880198	FALSE
"creatine"	"metabolome"	0.0595532052240166	12.1736654935915	1.73379633366811	0.0847948513710083	0.355130912177589	-5.4039256406111	FALSE	0.00268024302533298	12.1736654935915	0.0766738252695108	0.938974565039937	0.973495688754641	-6.74974569384309	FALSE	0.0878684327035337	12.1736654935915	2.55814890052486	0.0114094421475661	0.0895864390899725	-3.285033271939	FALSE	0.00168539299947312	12.1736654935915	0.0482141086202451	0.961603065584303	0.982507480053527	-6.57086513685985	FALSE
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*"	"metabolome"	0.239044495901595	8.75745813823704	1.72597758971285	0.086196075564404	0.357499041535154	-5.41715409817242	FALSE	0.402841623147827	8.75745813823704	2.85805615833648	0.00480393525736294	0.0534753845753821	-2.79599656747876	FALSE	0.161177728292749	8.75745813823704	1.16375466393767	0.24617904233805	0.529942671292596	-5.76901456196818	FALSE	0.34331222477976	8.75745813823704	2.43571061648694	0.015911098710202	0.0739603819166535	-3.69682157755737	FALSE
"1-palmityl-2-stearoyl-GPC (O-16:0/18:0)*"	"metabolome"	0.278709518155007	0.524113643686483	1.72127872795991	0.0870472154369631	0.358460969374294	-5.42507630940605	FALSE	-0.0917587637055813	0.524113643686483	-0.556835572233292	0.578383266931006	0.762027746933636	-6.59893295268479	FALSE	0.498150159586935	0.524113643686483	3.07651952004718	0.00244699573209861	0.0323462248336785	-1.92026551219989	TRUE	0.34815291299067	0.524113643686483	2.11275652265633	0.0361042597311346	0.135752016589066	-4.39927410834454	FALSE
"X-11381"	"metabolome"	-0.336015763856724	4.91808124247057	-1.71997366283169	0.0872848223299108	0.358460969374294	-5.42727293238732	FALSE	0.0813540899788929	4.91808124247057	0.409186740916025	0.682925540151301	0.833701308756133	-6.66961391096869	FALSE	-0.0880416394190897	4.91808124247057	-0.450661300217831	0.652816683792313	0.858915885673868	-6.33063845280216	FALSE	0.00317673602712087	4.91808124247057	0.0159780321066263	0.987270939565715	0.993140564652313	-6.57188599412697	FALSE
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	"metabolome"	0.132055824797437	7.7961175712144	1.7088908998506	0.0893239590829327	0.365063137121551	-5.44586209832429	FALSE	0.194133241980857	7.7961175712144	2.4685202768788	0.0145715952414472	0.0986267406521964	-3.78307903437434	FALSE	0.0572470123536561	7.7961175712144	0.740814716843119	0.459843391486367	0.716441085078207	-6.16156991617956	FALSE	-0.00018755006452053	7.7961175712144	-0.00238481123827584	0.998100036562847	0.999281220038069	-6.57200913617021	FALSE
"N4-acetylcytidine"	"metabolome"	0.302924705112634	-4.2093307553433	1.56833808503536	0.120256303307812	0.415453981890482	-5.45121785598055	FALSE	0.001996882348827	-4.2093307553433	0.00994803137482334	0.992084421378917	0.994844753843667	-6.50396955560999	FALSE	0.0302417904457855	-4.2093307553433	0.146580704805006	0.883785653505643	0.964101535809763	-6.13202551355631	FALSE	-0.247377099879841	-4.2093307553433	-1.24331023132101	0.216931763342973	0.421033265790067	-5.58311539207093	FALSE
"1-palmitoyl-GPI (16:0)"	"metabolome"	0.314098987796821	-3.63240918106154	1.68055392729943	0.0948325023420537	0.373981177913145	-5.45187129572112	FALSE	-0.158673470121285	-3.63240918106154	-0.855346955566084	0.393658865880833	0.608839854726114	-6.37280156031802	FALSE	0.0832164860131108	-3.63240918106154	0.443877399101963	0.657740661361475	0.861800637083194	-6.2890160239378	FALSE	0.0474459618129042	-3.63240918106154	0.253911352437281	0.79989533207176	0.9071199074165	-6.51553985000193	FALSE
"linoleoyl ethanolamide"	"metabolome"	0.229026397382434	-3.47087287710106	1.69241057827682	0.0924276185309496	0.373981177913145	-5.47329005609712	FALSE	0.119214125222987	-3.47087287710106	0.865621276508471	0.387936426978429	0.601300795261772	-6.38165341635007	FALSE	0.0767661300080218	-3.47087287710106	0.56727002635424	0.571290464923511	0.80551955554215	-6.2725485663958	FALSE	0.109656114972057	-3.47087287710106	0.796219961699379	0.427031595233838	0.646467818521894	-6.25985434773655	FALSE
"1,2,3-benzenetriol sulfate (2)"	"metabolome"	0.572197205624046	-4.79554549670832	1.43121427280865	0.157354765457306	0.459071624896762	-5.48224184446648	FALSE	-0.230544584214006	-4.79554549670832	-0.554162509609706	0.58144688592251	0.762906254370359	-6.17751519929277	FALSE	-0.101866594287614	-4.79554549670832	-0.251361469531963	0.802360021285851	0.93498151240748	-5.99180440981126	FALSE	-0.182431911541705	-4.79554549670832	-0.371284240792967	0.71168261406107	0.860119273565236	-5.92814141808581	FALSE
"creatinine"	"metabolome"	0.123000719118417	9.08200162890605	1.68434143854639	0.093978799641653	0.373981177913145	-5.48662577321818	FALSE	0.141644087844222	9.08200162890605	1.9059036930082	0.0583759862900948	0.193670919221256	-4.96953395356675	FALSE	0.107939698410577	9.08200162890605	1.47809954445959	0.141259705572819	0.386203014664911	-5.36631407314631	FALSE	0.133629531237972	9.08200162890605	1.79806316633211	0.0739685271187979	0.224291662876355	-4.99252962232626	FALSE
"chiro-inositol"	"metabolome"	0.371347686146639	-3.62586702719522	1.63375070135331	0.104650833292941	0.381027346699025	-5.48679681262472	FALSE	0.186496011351672	-3.62586702719522	0.830318958582987	0.407830489817442	0.620547831628697	-6.3555217139706	FALSE	0.34600276634358	-3.62586702719522	1.51635014220795	0.131778595578674	0.372913667485776	-5.22928992580363	FALSE	0.138855869950924	-3.62586702719522	0.605913704405752	0.545593657914347	0.730786428717256	-6.3162048047417	FALSE
"sulfate*"	"metabolome"	0.388972281500633	-0.156336866905923	1.65162289582245	0.100783809591415	0.37894712406372	-5.49416235462321	FALSE	-0.290012152085671	-0.156336866905923	-1.16916970574646	0.244261053779503	0.465416332201485	-5.99708247166529	FALSE	0.18049192619117	-0.156336866905923	0.751205581592636	0.453751078563846	0.711565032622987	-6.08839263180352	FALSE	-0.0601340428441591	-0.156336866905923	-0.248020451682975	0.804470823552365	0.909869407386765	-6.48311295826898	FALSE
